EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,B__nT_(1min),BX_(GSM)_(@_x-component_)_nT_(1min),BY_(GSM)_(@_y-component_)_nT_(1min),BZ_(GSM)_(@_z-component_)_nT_(1min)
2014-02-18T16:35:30.000Z,7.57707,1.08672,-7.46638,0.687437
2014-02-18T16:36:30.000Z,7.59640,1.11666,-7.48475,0.655134
2014-02-18T16:37:30.000Z,7.60989,1.12991,-7.51131,0.454618
2014-02-18T16:38:30.000Z,7.61399,1.21977,-7.50690,0.353515
2014-02-18T16:39:30.000Z,7.59154,1.30416,-7.46826,0.376197
2014-02-18T16:40:30.000Z,7.61206,1.46392,-7.46279,0.292890
2014-02-18T16:41:30.000Z,7.61138,1.36907,-7.48666,0.0332370
2014-02-18T16:42:30.000Z,7.60456,1.38661,-7.47293,-0.233950
2014-02-18T16:43:30.000Z,7.60549,1.34815,-7.47562,-0.343960
2014-02-18T16:44:30.000Z,7.60953,1.39250,-7.45991,0.328903
2014-02-18T16:45:30.000Z,7.58980,1.37438,-7.45560,-0.174665
2014-02-18T16:46:30.000Z,7.50348,1.31320,-7.35435,-0.582512
2014-02-18T16:47:30.000Z,7.45172,1.49253,-7.26525,-0.708792
2014-02-18T16:48:30.000Z,7.40845,1.56932,-7.21812,-0.557106
2014-02-18T16:49:30.000Z,7.42816,1.62437,-7.22184,-0.603517
2014-02-18T16:50:30.000Z,7.41328,1.59359,-7.19847,-0.755742
2014-02-18T16:51:30.000Z,7.43850,1.18647,-7.11740,-1.61303
2014-02-18T16:52:30.000Z,7.45734,1.04223,-7.32949,-0.856694
2014-02-18T16:53:30.000Z,7.48517,1.07389,-7.20234,-1.69618
2014-02-18T16:54:30.000Z,7.47765,1.17908,-6.91577,-2.56835
2014-02-18T16:55:30.000Z,7.42559,1.29809,-6.89534,-2.41769
2014-02-18T16:56:30.000Z,7.40297,1.46527,-6.84608,-2.37070
2014-02-18T16:57:30.000Z,7.39878,1.56987,-6.73348,-2.63048
2014-02-18T16:58:30.000Z,7.28989,1.77666,-6.74174,-2.09796
2014-02-18T16:59:30.000Z,7.21608,1.74619,-6.87245,-1.31564
2014-02-18T17:00:30.000Z,7.08525,1.80911,-5.87135,-3.50622
2014-02-18T17:01:30.000Z,7.03339,1.91031,-5.59426,-3.80750
2014-02-18T17:02:30.000Z,7.04307,2.00270,-5.50963,-3.90206
2014-02-18T17:03:30.000Z,7.04036,2.00384,-5.42023,-4.01999
2014-02-18T17:04:30.000Z,7.08040,1.98746,-5.49353,-3.99715
2014-02-18T17:05:30.000Z,7.06304,1.90723,-5.72717,-3.66429
2014-02-18T17:06:30.000Z,7.04339,1.96467,-5.86331,-3.37018
2014-02-18T17:07:30.000Z,7.37585,2.22444,-5.58560,-4.26604
2014-02-18T17:08:30.000Z,7.46814,2.25684,-5.46823,-4.55289
2014-02-18T17:09:30.000Z,7.55645,2.29275,-5.51911,-4.62046
2014-02-18T17:10:30.000Z,7.49924,2.28223,-5.54024,-4.50859
2014-02-18T17:11:30.000Z,7.42114,2.31869,-5.72196,-4.11538
2014-02-18T17:12:30.000Z,7.44955,2.38729,-5.78398,-4.04059
2014-02-18T17:13:30.000Z,7.50595,2.47332,-5.85493,-3.99047
2014-02-18T17:14:30.000Z,7.52393,2.44630,-5.68404,-4.27851
2014-02-18T17:15:30.000Z,7.52279,2.46706,-5.65747,-4.29948
2014-02-18T17:16:30.000Z,7.53963,2.43345,-5.58563,-4.43928
2014-02-18T17:17:30.000Z,7.59940,2.48987,-5.45687,-4.66419
2014-02-18T17:18:30.000Z,7.72287,2.55881,-5.26082,-5.03048
2014-02-18T17:19:30.000Z,7.77972,2.54681,-4.54135,-5.76056
2014-02-18T17:20:30.000Z,7.80778,2.48042,-4.39739,-5.95108
2014-02-18T17:21:30.000Z,7.76766,2.57323,-4.37267,-5.87116
2014-02-18T17:22:30.000Z,7.69903,2.75723,-3.94922,-6.00245
2014-02-18T17:23:30.000Z,7.69675,2.87905,-3.82688,-6.02216
2014-02-18T17:24:30.000Z,7.68681,2.75430,-3.78085,-6.09703
2014-02-18T17:25:30.000Z,7.68315,2.68818,-3.75378,-6.13861
2014-02-18T17:26:30.000Z,7.68656,2.68249,-3.70044,-6.17657
2014-02-18T17:27:30.000Z,7.66327,2.82051,-3.66442,-6.10862
2014-02-18T17:28:30.000Z,7.70510,2.90339,-3.55528,-6.18648
2014-02-18T17:29:30.000Z,7.66245,2.70765,-3.77559,-6.08974
2014-02-18T17:30:30.000Z,7.66047,2.72446,-3.61431,-6.17663
2014-02-18T17:31:30.000Z,7.63086,2.59722,-3.64551,-6.17834
2014-02-18T17:32:30.000Z,7.63963,2.53936,-3.72158,-6.16616
2014-02-18T17:33:30.000Z,7.59632,2.38529,-3.59273,-6.23585
2014-02-18T17:34:30.000Z,7.51859,2.10592,-3.60531,-6.24642
2014-02-18T17:35:30.000Z,7.51057,2.21423,-3.77692,-6.09297
2014-02-18T17:36:30.000Z,7.55361,2.26537,-3.44214,-6.32940
2014-02-18T17:37:30.000Z,7.55964,2.22309,-3.20760,-6.47394
2014-02-18T17:38:30.000Z,7.57572,2.26476,-3.06356,-6.54727
2014-02-18T17:39:30.000Z,7.58367,2.13267,-2.93408,-6.65801
2014-02-18T17:40:30.000Z,7.63964,1.68240,-2.77986,-6.90680
2014-02-18T17:41:30.000Z,7.62366,1.73270,-2.97239,-6.78765
2014-02-18T17:42:30.000Z,7.61413,1.89224,-3.18536,-6.64958
2014-02-18T17:43:30.000Z,7.63611,2.10168,-3.40844,-6.49680
2014-02-18T17:44:30.000Z,7.72263,2.37785,-3.28861,-6.56056
2014-02-18T17:45:30.000Z,7.76117,2.31977,-3.61674,-6.46068
2014-02-18T17:46:30.000Z,7.78923,2.53611,-3.37134,-6.54416
2014-02-18T17:47:30.000Z,7.81599,2.56092,-3.35676,-6.57292
2014-02-18T17:48:30.000Z,7.80197,2.58502,-3.16926,-6.64174
2014-02-18T17:49:30.000Z,7.71173,2.47020,-3.58399,-6.35774
2014-02-18T17:50:30.000Z,7.70745,2.40711,-3.65468,-6.33339
2014-02-18T17:51:30.000Z,7.74688,2.44618,-3.47018,-6.47887
2014-02-18T17:52:30.000Z,7.78028,2.38753,-3.67890,-6.42534
2014-02-18T17:53:30.000Z,7.76943,2.46665,-3.89902,-6.24939
2014-02-18T17:54:30.000Z,7.76734,2.27660,-4.02208,-6.24014
2014-02-18T17:55:30.000Z,7.78860,2.20970,-4.24460,-6.14306
2014-02-18T17:56:30.000Z,7.76160,2.03271,-4.45754,-6.01880
2014-02-18T17:57:30.000Z,7.77842,2.04210,-4.64807,-5.88749
2014-02-18T17:58:30.000Z,7.75419,2.07805,-4.59495,-5.88846
2014-02-18T17:59:30.000Z,7.78104,2.29733,-4.17362,-6.13128
2014-02-18T18:00:30.000Z,7.79427,2.26015,-3.85295,-6.38108
2014-02-18T18:01:30.000Z,7.77034,2.28317,-4.18099,-6.13821
2014-02-18T18:02:30.000Z,7.79931,2.16702,-4.80243,-5.74016
2014-02-18T18:03:30.000Z,7.77105,2.03373,-5.33245,-5.26517
2014-02-18T18:04:30.000Z,7.74842,1.95834,-5.48726,-5.06283
2014-02-18T18:05:30.000Z,8.09200,2.11701,-2.21330,-7.42047
2014-02-18T18:06:30.000Z,8.16028,1.96338,-1.21475,-7.82291
2014-02-18T18:07:30.000Z,8.15390,2.05983,-1.93788,-7.64658
2014-02-18T18:08:30.000Z,8.10854,1.98487,-1.85562,-7.63618
2014-02-18T18:09:30.000Z,8.01988,1.88898,-1.88461,-7.56194
2014-02-18T18:10:30.000Z,7.96483,1.24961,-1.76645,-7.64312
2014-02-18T18:11:30.000Z,7.94005,0.967009,-2.36973,-7.48029
2014-02-18T18:12:30.000Z,7.94549,2.03497,-3.47364,-6.76153
2014-02-18T18:13:30.000Z,7.93532,1.37432,-4.57571,-6.32845
2014-02-18T18:14:30.000Z,7.96865,1.42825,-4.37303,-6.50316
2014-02-18T18:15:30.000Z,7.75758,1.35211,-4.41625,-6.19194
2014-02-18T18:16:30.000Z,7.66616,1.18486,-5.28360,-5.42505
2014-02-18T18:17:30.000Z,7.62590,1.12091,-5.32481,-5.34199
2014-02-18T18:18:30.000Z,7.63181,0.943304,-5.44759,-5.25989
2014-02-18T18:19:30.000Z,7.64730,1.06496,-5.49100,-5.21026
2014-02-18T18:20:30.000Z,7.62648,1.09417,-5.55862,-5.10240
2014-02-18T18:21:30.000Z,7.63178,1.12033,-5.91972,-4.68047
2014-02-18T18:22:30.000Z,7.65046,1.16274,-6.11352,-4.44631
2014-02-18T18:23:30.000Z,7.69206,1.16084,-6.27793,-4.27238
2014-02-18T18:24:30.000Z,7.69235,0.882923,-6.42846,-4.11911
2014-02-18T18:25:30.000Z,7.66442,0.558245,-6.59027,-3.86138
2014-02-18T18:26:30.000Z,7.72656,0.460085,-6.84999,-3.54070
2014-02-18T18:27:30.000Z,7.67046,0.338809,-6.83427,-3.45136
2014-02-18T18:28:30.000Z,7.68415,0.228597,-6.74546,-3.59907
2014-02-18T18:29:30.000Z,7.74343,0.234227,-6.52373,-3.99860
2014-02-18T18:30:30.000Z,7.79699,-0.266795,-6.16011,-4.51517
2014-02-18T18:31:30.000Z,8.02363,-0.0212718,-7.35617,-3.19312
2014-02-18T18:32:30.000Z,7.96340,-0.208769,-7.35912,-3.02758
2014-02-18T18:33:30.000Z,7.65371,0.984570,-6.30102,-3.84877
2014-02-18T18:34:30.000Z,7.79389,1.90585,-6.04287,-4.41303
2014-02-18T18:35:30.000Z,8.03659,2.25606,-5.30368,-5.59710
2014-02-18T18:36:30.000Z,7.96623,1.85690,-5.24385,-5.68711
2014-02-18T18:37:30.000Z,7.94958,1.98850,-4.91674,-5.89534
2014-02-18T18:38:30.000Z,7.97706,2.36530,-4.57673,-6.03539
