UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-B__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-B_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-B_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-B_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-B_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-B_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-B_(@_3_)_eV_(All_Qs)
2009-07-04T15:23:59.961Z,4.2872008,-342.72466,-8.8465368,-13.138692,45.152130,9.7900376,19.035549
2009-07-04T15:24:02.928Z,4.3140738,-343.19692,-8.8198091,-13.497201,45.732870,10.493270,18.779919
2009-07-04T15:24:05.896Z,4.2613004,-347.04861,-9.3363618,-13.350281,39.223068,10.751024,17.838918
2009-07-04T15:24:08.864Z,4.2085189,-349.28218,-11.927183,-13.210418,36.890786,9.6725972,18.148694
2009-07-04T15:24:11.832Z,4.3416087,-352.74625,-12.596386,-7.6701010,45.802492,9.8334124,19.077222
2009-07-04T15:24:14.800Z,4.2091566,-354.55662,-15.086282,-7.6376693,45.417434,9.9243339,19.811212
2009-07-04T15:24:17.768Z,4.4219411,-352.15586,-12.071757,-10.654947,43.778434,9.2675328,18.263165
2009-07-04T15:24:20.736Z,4.2363546,-352.95440,-10.206934,-13.016396,45.364025,10.794989,19.053449
2009-07-04T15:24:23.703Z,4.1835514,-351.81888,-12.434914,-13.715605,41.817754,9.9114386,19.208001
2009-07-04T15:24:26.671Z,4.3432537,-348.66950,-11.731582,-12.374716,47.141194,9.7595517,19.082961
2009-07-04T15:24:29.639Z,4.2373176,-352.29330,-15.454761,-11.166691,49.393815,10.249743,21.447417
2009-07-04T15:24:32.607Z,4.1047972,-356.69755,-13.174180,-10.134672,39.534053,10.122942,20.820059
2009-07-04T15:24:35.575Z,4.1582485,-356.58348,-14.587974,-8.3090527,43.855335,10.671106,21.207579
2009-07-04T15:24:38.543Z,4.0788465,-354.43328,-12.247217,-7.9833760,48.742361,10.351709,22.405958
2009-07-04T15:24:41.511Z,4.0525810,-349.15957,-8.4944075,-8.7747553,49.222935,10.075483,25.818269
2009-07-04T15:24:44.479Z,4.0528878,-353.12975,-6.8931258,-5.0997634,47.000250,11.571802,54.990348
2009-07-04T15:24:47.446Z,4.2658216,-355.05205,-2.7472310,-7.1756129,51.268916,12.061461,78.087614
2009-07-04T15:24:50.414Z,4.2395642,-352.36516,-4.6506230,-10.098750,40.993165,10.814609,39.957962
2009-07-04T15:24:53.382Z,4.2398850,-354.61636,-6.2085638,-4.9905876,39.137713,9.4489778,21.583311
2009-07-04T15:24:56.350Z,4.3465433,-353.60549,-9.1632435,-6.1646216,42.204133,9.4850313,19.948068
2009-07-04T15:24:59.318Z,4.1873540,-353.51127,-11.997895,-6.5591193,46.024329,9.2521916,21.470225
2009-07-04T15:25:02.286Z,4.1610825,-351.19507,-10.759787,-7.7135424,51.562146,10.461662,23.488967
2009-07-04T15:25:05.254Z,4.3209397,-354.76805,-10.429975,-7.4820063,44.861736,10.045493,21.052267
2009-07-04T15:25:08.222Z,4.2946747,-356.62918,-8.7332052,-7.6872156,37.657410,9.9593408,19.666144
2009-07-04T15:25:11.189Z,4.3215940,-354.62333,-9.8487861,-9.0672112,39.322398,9.5462522,18.884611
2009-07-04T15:25:14.157Z,4.3751137,-353.99203,-7.9298632,-10.186229,43.274264,9.2689468,18.469805
2009-07-04T15:25:17.125Z,4.3754447,-355.18488,-8.4268886,-8.9087619,39.437658,9.6089416,19.125500
2009-07-04T15:25:20.093Z,4.5353783,-353.55893,-8.7560770,-9.0359154,40.468874,9.9261100,17.928302
2009-07-04T15:25:23.061Z,4.4293114,-351.71992,-9.9434113,-7.0938101,39.222581,9.9090709,20.178383
2009-07-04T15:25:26.029Z,4.3232285,-351.33253,-10.572060,-7.9787790,40.976159,9.8384238,18.927240
2009-07-04T15:25:28.997Z,4.2703424,-350.88947,-11.655048,-7.3641770,42.714698,8.9937342,18.421537
2009-07-04T15:25:31.965Z,4.4037083,-352.06277,-9.6759179,-5.1942852,45.601448,9.2893807,19.813260
2009-07-04T15:25:34.932Z,4.5104833,-357.29528,-8.5019707,-5.3271007,41.418250,8.9244425,19.004987
2009-07-04T15:25:37.900Z,4.8301747,-347.84708,-7.6215350,-9.7749719,43.465753,8.9947995,17.726361
2009-07-04T15:25:40.868Z,4.7240816,-350.43472,-9.4700313,-7.0229553,41.951049,9.3550045,17.778142
2009-07-04T15:25:43.836Z,4.7776718,-350.68780,-9.7286813,-9.2377898,43.093286,9.8158554,17.953740
2009-07-04T15:25:46.804Z,4.8046515,-346.86638,-8.6680920,-5.6310421,43.507480,9.2843479,17.731087
2009-07-04T15:25:49.772Z,4.6186705,-349.99195,-5.3577458,-11.453728,33.872726,9.5126986,17.241458
2009-07-04T15:25:52.740Z,4.5125297,-351.94518,-8.0024933,-12.033200,35.661909,10.382048,17.672885
2009-07-04T15:25:55.708Z,4.6193691,-351.01217,-6.3229205,-15.450709,43.432950,10.578850,18.146838
2009-07-04T15:25:58.675Z,4.9658641,-346.72759,-5.8219209,-15.169100,40.464573,9.7817928,16.889048
2009-07-04T15:26:01.643Z,5.2591542,-345.66948,-3.4011646,-12.865308,39.362382,9.3627128,17.030537
2009-07-04T15:26:04.611Z,5.3128128,-341.17700,-1.1672318,-14.048570,34.367746,9.3012197,19.631282
2009-07-04T15:26:07.579Z,5.2599489,-337.63075,3.7137303,-17.307068,31.471159,9.4479231,21.053158
2009-07-04T15:26:10.547Z,5.2337115,-338.21548,2.6409038,-16.156585,29.929292,9.1266140,20.434987
2009-07-04T15:26:13.515Z,5.2341068,-337.08640,4.3179839,-14.923051,30.388929,9.2598363,20.173176
2009-07-04T15:26:16.483Z,5.1812253,-335.67239,5.9419690,-16.749335,28.222344,9.2309474,19.093299
2009-07-04T15:26:19.451Z,5.3148201,-336.33063,5.2897629,-16.965830,31.075599,9.5624217,19.554402
2009-07-04T15:26:22.418Z,5.6082913,-334.63305,5.7755416,-17.551212,29.631529,9.4736179,19.134343
2009-07-04T15:26:25.386Z,5.8218725,-334.24293,6.9257292,-18.371718,28.398960,9.7874948,20.426143
2009-07-04T15:26:28.354Z,5.5824914,-334.96394,6.8319903,-16.854332,29.962622,9.3774805,21.912597
2009-07-04T15:26:31.322Z,5.1032354,-336.26141,5.2405933,-13.980415,26.945052,9.3664502,20.605357
2009-07-04T15:26:34.290Z,4.9437161,-334.73985,3.8391476,-12.141712,31.798203,9.7782248,24.439673
